Subject,Group,Item,Vot Score,Block,Category,Cond_race,Cond_acce,Extra,Word Duration
167,ESL,baby,0.288590380931,1,3,,,,
167,ESL,back,0.234361079487,1,1,,,,
167,ESL,bag,0.20700263943,1,1,,,,
167,ESL,ball,0.202753671873,1,3,,,,
167,ESL,banana,0.334736909251,1,3,,,,
167,ESL,battery,0.235831358408,1,1,,,,
167,ESL,bean,0.142883783222,1,1,,,,
167,ESL,bear,0.215811116306,1,3,,,,
167,ESL,beer,0.179763074833,1,1,,,,
167,ESL,bird,0.232820791506,1,3,,,,
167,ESL,bone,0.212020258359,1,1,,,,
167,ESL,bottle,0.182241284489,1,1,,,,
167,ESL,bowl,0.219699562102,1,3,,,,
167,ESL,box,0.367724804254,1,3,,,,
167,ESL,boy,0.183299240073,1,3,,,,
167,ESL,bubble,0.268383266871,1,1,,,,
167,ESL,bus,0.23862885076,1,1,,,,
167,ESL,cake,0.223901605883,1,2,,,,
167,ESL,camera,0.341961390401,1,4,,,,
167,ESL,candy,0.282930922885,1,2,,,,
167,ESL,carpet,0.359989191559,1,2,,,,
167,ESL,carrot,0.264039919183,1,4,,,,
167,ESL,coffee,0.309715135187,1,2,,,,
167,ESL,computer,0.285106711269,1,2,,,,
167,ESL,cup,0.236413641721,1,2,,,,
167,ESL,deer,0.217766452112,1,3,,,,
167,ESL,dinosaur,0.331823651141,1,1,,,,
167,ESL,dog,0.199940385378,1,1,,,,
167,ESL,door,0.0882838950781,1,3,,,,
167,ESL,duck,0.14911860676,1,3,,,,
167,ESL,garden,0.197820935277,1,3,,,,
167,ESL,ghost,0.123144796676,1,1,,,,
167,ESL,girl,0.187040644891,1,3,,,,
167,ESL,gum,0.198432142352,1,1,,,,
167,ESL,panda,0.263307710029,1,4,,,,
167,ESL,pants,0.312508898321,1,2,,,,
167,ESL,peach,0.302595232598,1,2,,,,
167,ESL,pear,0.251111719858,1,4,,,,
167,ESL,pen,0.2488347946,1,2,,,,
167,ESL,pencil,0.236316839134,1,4,,,,
167,ESL,piano,0.297500237991,1,2,,,,
167,ESL,pineapple,0.256419311434,1,2,,,,
167,ESL,tofu,0.298454974952,1,2,,,,
167,ESL,tomato,0.295432707068,1,4,,,,
167,ESL,tongue,0.18618245233,1,4,,,,
167,ESL,tooth,0.313961990927,1,4,,,,
167,ESL,turtle,0.297846234456,1,4,,,,
167,ESL,baby,0.251262560702,2,3,,,,
167,ESL,back,0.188154136085,2,1,,,,
167,ESL,bag,0.242607028236,2,1,,,,
167,ESL,ball,0.224209390589,2,3,,,,
167,ESL,banana,0.227469598868,2,3,,,,
167,ESL,battery,0.322055205587,2,1,,,,
167,ESL,bean,0.148001130862,2,1,,,,
167,ESL,bear,0.2305017696,2,3,,,,
167,ESL,beer,0.304483514589,2,1,,,,
167,ESL,bird,0.292981355709,2,3,,,,
167,ESL,bottle,0.186806102108,2,1,,,,
167,ESL,bowl,0.132122462002,2,3,,,,
167,ESL,box,0.379140857899,2,3,,,,
167,ESL,boy,0.170769775804,2,3,,,,
167,ESL,bubble,0.274233195479,2,1,,,,
167,ESL,bus,0.196426190674,2,1,,,,
167,ESL,cake,0.249365559021,2,2,,,,
167,ESL,camera,0.184002279784,2,4,,,,
167,ESL,candy,0.231046533306,2,2,,,,
167,ESL,carpet,0.315999245293,2,2,,,,
167,ESL,carrot,0.318194919109,2,4,,,,
167,ESL,coffee,0.251125302125,2,2,,,,
167,ESL,computer,0.305609272537,2,2,,,,
167,ESL,cup,0.16282389678,2,2,,,,
167,ESL,deer,0.28210965109,2,3,,,,
167,ESL,dinosaur,0.340451629786,2,1,,,,
167,ESL,dog,0.280095517045,2,1,,,,
167,ESL,door,0.290723356424,2,3,,,,
167,ESL,duck,0.234852736449,2,3,,,,
167,ESL,garden,0.231571316022,2,3,,,,
167,ESL,girl,0.328413259536,2,3,,,,
167,ESL,gum,0.152755820689,2,1,,,,
167,ESL,panda,0.29169535208,2,4,,,,
167,ESL,pants,0.271937344115,2,2,,,,
167,ESL,peach,0.272154534268,2,2,,,,
167,ESL,peanut,0.198963505836,2,4,,,,
167,ESL,pear,0.254334723612,2,4,,,,
167,ESL,pen,0.275363646833,2,2,,,,
167,ESL,pencil,0.198538383822,2,4,,,,
167,ESL,pepper,0.348212174294,2,4,,,,
167,ESL,piano,0.321877005567,2,2,,,,
167,ESL,pineapple,0.362447606928,2,2,,,,
167,ESL,tail,0.290828410614,2,4,,,,
167,ESL,tofu,0.276744699551,2,2,,,,
167,ESL,tomato,0.261112252006,2,4,,,,
167,ESL,tooth,0.308831944897,2,4,,,,
167,ESL,turtle,0.240928421745,2,4,,,,
