Subject,Group,Item,Vot Score,Block,Category,Cond_race,Cond_acce,Extra,Word Duration
66,ESL,baby,0.0103963655787,1,3,,,,
66,ESL,back,0.0137161646548,1,1,,,,
66,ESL,backpack,0.011590236047,1,1,,,,
66,ESL,ball,0.00929772781924,1,3,,,,
66,ESL,banana,0.0162408791464,1,3,,,,
66,ESL,basket,0.0117563932771,1,3,,,,
66,ESL,bean,0.0110986106499,1,1,,,,
66,ESL,bear,0.00640382272807,1,3,,,,
66,ESL,beer,0.0265097943725,1,1,,,,
66,ESL,bird,0.00814184103057,1,3,,,,
66,ESL,bone,0.0188000930795,1,1,,,,
66,ESL,bottle,0.0186665677108,1,1,,,,
66,ESL,bowl,0.0082738095302,1,3,,,,
66,ESL,box,0.0165518880175,1,3,,,,
66,ESL,boy,0.0513343788103,1,3,,,,
66,ESL,bubble,0.00987992771052,1,1,,,,
66,ESL,bus,0.00732032002595,1,1,,,,
66,ESL,cake,0.0993204159239,1,2,,,,
66,ESL,camera,0.0900096536512,1,4,,,,
66,ESL,candy,0.0919099744044,1,2,,,,
66,ESL,carpet,0.0897902902092,1,2,,,,
66,ESL,carrot,0.067823603519,1,4,,,,
66,ESL,coffee,0.0484642135188,1,2,,,,
66,ESL,computer,0.0540511008058,1,2,,,,
66,ESL,deer,0.0235902240287,1,3,,,,
66,ESL,dinosaur,0.00705686405687,1,1,,,,
66,ESL,dog,0.0158161041624,1,1,,,,
66,ESL,door,0.0648787572194,1,3,,,,
66,ESL,duck,0.033543247245,1,3,,,,
66,ESL,garden,0.0248180182647,1,3,,,,
66,ESL,girl,0.0375548960683,1,3,,,,
66,ESL,panda,0.0750041942035,1,4,,,,
66,ESL,pants,0.0754436390507,1,2,,,,
66,ESL,peach,0.08609777911,1,2,,,,
66,ESL,peanut,0.0751569334486,1,4,,,,
66,ESL,pear,0.076605239631,1,4,,,,
66,ESL,pen,0.0891868719371,1,2,,,,
66,ESL,pencil,0.0995020521017,1,4,,,,
66,ESL,pepper,0.0404835680789,1,4,,,,
66,ESL,piano,0.0818290810625,1,2,,,,
66,ESL,tail,0.0951653227542,1,4,,,,
66,ESL,tofu,0.0937790039221,1,2,,,,
66,ESL,tomato,0.05810397708,1,4,,,,
66,ESL,tongue,0.0870452368798,1,4,,,,
66,ESL,turkey,0.0504282822394,1,4,,,,
66,ESL,turtle,0.0578954098683,1,4,,,,
66,ESL,baby,0.0173141939754,2,3,,,,
66,ESL,back,0.0178225306798,2,1,,,,
66,ESL,backpack,0.0150467491052,2,1,,,,
66,ESL,ball,0.019511792307,2,3,,,,
66,ESL,banana,0.013408073725,2,3,,,,
66,ESL,basket,0.010590084078,2,3,,,,
66,ESL,battery,0.0127513183086,2,1,,,,
66,ESL,bean,0.0126529065984,2,1,,,,
66,ESL,bear,0.0110063304032,2,3,,,,
66,ESL,beer,0.011721032196,2,1,,,,
66,ESL,bird,0.0125672710753,2,3,,,,
66,ESL,bone,0.0197622408154,2,1,,,,
66,ESL,bottle,0.0216155145706,2,1,,,,
66,ESL,bowl,0.0146412187644,2,3,,,,
66,ESL,box,0.0186561510892,2,3,,,,
66,ESL,boy,0.0179344639843,2,3,,,,
66,ESL,bubble,0.0146847508382,2,1,,,,
66,ESL,bus,0.00546664410197,2,1,,,,
66,ESL,camera,0.0809326615379,2,4,,,,
66,ESL,candy,0.0936502568956,2,2,,,,
66,ESL,carpet,0.0758413493792,2,2,,,,
66,ESL,carrot,0.0635333085855,2,4,,,,
66,ESL,coffee,0.0653287721877,2,2,,,,
66,ESL,computer,0.0598656214385,2,2,,,,
66,ESL,deer,0.0264728930129,2,3,,,,
66,ESL,dinosaur,0.0163476647297,2,1,,,,
66,ESL,dog,0.0368171174321,2,1,,,,
66,ESL,door,0.0211432679047,2,3,,,,
66,ESL,duck,0.0128530046037,2,3,,,,
66,ESL,girl,0.0591232683167,2,3,,,,
66,ESL,panda,0.0766904059001,2,4,,,,
66,ESL,pants,0.0664683108221,2,2,,,,
66,ESL,peach,0.0996906671247,2,2,,,,
66,ESL,peanut,0.0811438460218,2,4,,,,
66,ESL,pear,0.135710776388,2,4,,,,
66,ESL,pen,0.0878933812865,2,2,,,,
66,ESL,pencil,0.0330730258729,2,4,,,,
66,ESL,pepper,0.0592506083174,2,4,,,,
66,ESL,piano,0.0766545353785,2,2,,,,
66,ESL,pineapple,0.0706060107146,2,2,,,,
66,ESL,tail,0.101278619166,2,4,,,,
66,ESL,tofu,0.097287439591,2,2,,,,
66,ESL,tomato,0.0544895485343,2,4,,,,
66,ESL,tongue,0.0658010961044,2,4,,,,
66,ESL,tooth,0.114690897286,2,4,,,,
66,ESL,turkey,0.0733696139653,2,4,,,,
66,ESL,turtle,0.0599177506648,2,4,,,,
