Subject,Group,Item,Vot Score,Block,Category,Cond_race,Cond_acce,Extra,Word Duration
170,CBC,baby,0.00663541123165,1,3,,,,
170,CBC,back,0.00922370985933,1,1,,,,
170,CBC,backpack,0.00982281799815,1,1,,,,
170,CBC,bag,0.00355338642782,1,1,,,,
170,CBC,ball,0.0070243564749,1,3,,,,
170,CBC,banana,0.0111391288108,1,3,,,,
170,CBC,basket,0.00950226092098,1,3,,,,
170,CBC,battery,-0.0687093534336,1,1,,,,
170,CBC,bean,0.00618736291039,1,1,,,,
170,CBC,bear,0.00949232814681,1,3,,,,
170,CBC,beer,0.00841279054838,1,1,,,,
170,CBC,belly,0.0045115070944,1,1,,,,
170,CBC,bird,0.00707679150707,1,3,,,,
170,CBC,bone,-0.106145006793,1,1,,,,
170,CBC,bottle,-0.0931549895355,1,1,,,,
170,CBC,bowl,0.0052313248416,1,3,,,,
170,CBC,box,0.00806992862383,1,3,,,,
170,CBC,boy,0.00652995892562,1,3,,,,
170,CBC,bubble,0.00430038543607,1,1,,,,
170,CBC,bus,0.00675597462447,1,1,,,,
170,CBC,cake,0.0597531528376,1,2,,,,
170,CBC,camera,0.0833129738879,1,4,,,,
170,CBC,can,0.081467507533,1,2,,,,
170,CBC,candy,0.0797838374654,1,2,,,,
170,CBC,carpet,0.0496712609189,1,2,,,,
170,CBC,carrot,0.0569471390221,1,4,,,,
170,CBC,coffee,0.0661985081021,1,2,,,,
170,CBC,computer,0.0282674332032,1,2,,,,
170,CBC,cup,0.052099800092,1,2,,,,
170,CBC,deer,0.0112449686626,1,3,,,,
170,CBC,dinosaur,0.0115318792458,1,1,,,,
170,CBC,dog,0.00278105115898,1,1,,,,
170,CBC,door,0.00805352465131,1,3,,,,
170,CBC,duck,0.00570454861507,1,3,,,,
170,CBC,ghost,0.014750100747,1,1,,,,
170,CBC,girl,0.0154428182627,1,3,,,,
170,CBC,gum,-0.0950260880021,1,1,,,,
170,CBC,paint,0.0681840256167,1,4,,,,
170,CBC,panda,0.065508979621,1,4,,,,
170,CBC,pants,0.0507850823726,1,2,,,,
170,CBC,peach,0.0418316614605,1,2,,,,
170,CBC,peanut,0.0686574179093,1,4,,,,
170,CBC,pear,0.0530036458593,1,4,,,,
170,CBC,pen,0.0593665610947,1,2,,,,
170,CBC,pencil,0.049935126615,1,4,,,,
170,CBC,pepper,0.0394462512835,1,4,,,,
170,CBC,piano,0.0626808562015,1,2,,,,
170,CBC,pineapple,0.0748209026588,1,2,,,,
170,CBC,tail,0.0621233651209,1,4,,,,
170,CBC,tofu,0.0454210434872,1,2,,,,
170,CBC,tomato,0.0551418979188,1,4,,,,
170,CBC,tongue,0.064004202795,1,4,,,,
170,CBC,tooth,0.0393359254015,1,4,,,,
170,CBC,turkey,0.035827269045,1,4,,,,
170,CBC,turtle,0.0680509774903,1,4,,,,
170,CBC,baby,0.00842446904775,2,3,,,,
170,CBC,back,-0.098591575353,2,1,,,,
170,CBC,backpack,0.0103481548854,2,1,,,,
170,CBC,bag,0.00727762267166,2,1,,,,
170,CBC,ball,0.00758154381624,2,3,,,,
170,CBC,banana,0.00800530565264,2,3,,,,
170,CBC,basket,0.00892804410752,2,3,,,,
170,CBC,battery,0.0090081641188,2,1,,,,
170,CBC,bean,0.00788142063109,2,1,,,,
170,CBC,bear,0.00880457385592,2,3,,,,
170,CBC,beer,0.0087312821269,2,1,,,,
170,CBC,belly,0.00576890108723,2,1,,,,
170,CBC,bird,0.00819485198472,2,3,,,,
170,CBC,bone,-0.0134271279968,2,1,,,,
170,CBC,bottle,0.00923525131501,2,1,,,,
170,CBC,bowl,0.00665096198318,2,3,,,,
170,CBC,box,0.00982856293424,2,3,,,,
170,CBC,boy,0.00783393069086,2,3,,,,
170,CBC,bubble,0.00740954882601,2,1,,,,
170,CBC,bus,0.00836809818387,2,1,,,,
