Word	VOT_Score
baby	0.00779384520818
back	0.00854002333443
backpack	0.01132443231
ball	0.0132914813056
banana	0.012240078332
basket	0.0100130116708
battery	0.00843674381957
bean	0.0145963268355
bear	0.0141598015732
beer	0.00923045059347
bird	0.00782958080396
bone	0.00897523453448
bottle	0.0145518191808
bowl	0.00975040408178
box	0.00645298403922
boy	0.0108120065823
bubble	0.0144059640777
bus	0.0137601173788
cake	0.0383045970133
camera	0.0542159830231
can	0.0523827014625
candy	0.049077661048
carrot	0.0598884937335
coffee	0.0455662455018
computer	0.0453716184816
cup	0.0459330316787
deer	0.0233339508017
desk	0.027951440062
dog	0.0162761108047
door	0.0185169190974
duck	0.0170355428541
garden	0.0241773472083
girl	0.0306603437475
gum	0.0192171441945
paint	0.0409692307609
panda	0.0798337966969
pants	0.0671263574656
peach	0.038111631136
peanut	0.0523652862011
pear	0.0621454724657
pen	0.0475959356587
pencil	0.0469581494718
pepper	0.0633647010218
piano	0.0705225832889
pineapple	0.0530555766587
tail	0.0565876399895
tofu	0.0392085369771
tomato	0.0754515570752
tooth	0.0831949644887
turkey	0.0590563005314
turtle	0.0639428975008
