Subject,Group,Item,Vot Score,Block,Category,Cond_race,Cond_acce,Extra,Word Duration
30,CBC,baby,0.0294442897549,1,3,,,,
30,CBC,back,0.0174367077508,1,1,,,,
30,CBC,bag,0.0166093523776,1,1,,,,
30,CBC,banana,0.0177106857571,1,3,,,,
30,CBC,basket,0.0316698636194,1,3,,,,
30,CBC,battery,0.0250404509974,1,1,,,,
30,CBC,beans,-0.0637741528001,1,,,,,
30,CBC,bear,0.0417597066673,1,3,,,,
30,CBC,beer,0.0695039720544,1,1,,,,
30,CBC,belly,0.0160694997434,1,1,,,,
30,CBC,bird,0.0476250389759,1,3,,,,
30,CBC,bone,0.0150592532437,1,1,,,,
30,CBC,bowl,-0.0725325906396,1,3,,,,
30,CBC,box,0.0104277046124,1,3,,,,
30,CBC,boy,0.0497004460825,1,3,,,,
30,CBC,bubble,0.0247630344539,1,1,,,,
30,CBC,bus,0.108716297731,1,1,,,,
30,CBC,cake,0.0865099885541,1,2,,,,
30,CBC,camera,0.079271909075,1,4,,,,
30,CBC,can,0.0891413671696,1,2,,,,
30,CBC,candy,0.0630914442298,1,2,,,,
30,CBC,carpet,0.0865630975205,1,2,,,,
30,CBC,carrot,0.0692472356283,1,4,,,,
30,CBC,coffee,0.0925140124274,1,2,,,,
30,CBC,computer,0.0502048802362,1,2,,,,
30,CBC,cup,0.0680580361174,1,2,,,,
30,CBC,deer,0.066229260528,1,3,,,,
30,CBC,dog,0.0160030166445,1,1,,,,
30,CBC,door,0.0177102589594,1,3,,,,
30,CBC,duck,0.0168932578771,1,3,,,,
30,CBC,ghost,0.0237159645759,1,1,,,,
30,CBC,girl,-0.0754979574814,1,3,,,,
30,CBC,gum,0.0206981906209,1,1,,,,
30,CBC,paint,0.0710724029012,1,4,,,,
30,CBC,panda,0.0330918054479,1,4,,,,
30,CBC,pants,0.0606071694197,1,2,,,,
30,CBC,peach,0.0582928633812,1,2,,,,
30,CBC,pear,0.0447790534522,1,4,,,,
30,CBC,pen,0.0754811938485,1,2,,,,
30,CBC,pencil,0.0507906446002,1,4,,,,
30,CBC,pepper,0.0440404849262,1,4,,,,
30,CBC,piano,0.0463900296173,1,2,,,,
30,CBC,pineapple,0.057276589676,1,2,,,,
30,CBC,tofu,0.0625086260305,1,2,,,,
30,CBC,tomato,0.127873664389,1,4,,,,
30,CBC,tooth,0.0678848723345,1,4,,,,
30,CBC,turkey,0.057784739078,1,4,,,,
30,CBC,turtle,0.0400649926624,1,4,,,,
30,CBC,baby,-0.0764639585278,2,3,,,,
30,CBC,back,0.0279868691908,2,1,,,,
30,CBC,backpack,0.0112460997299,2,1,,,,
30,CBC,bag,0.00807738185985,2,1,,,,
30,CBC,basket,0.0198258080804,2,3,,,,
30,CBC,battery,0.0176469349261,2,1,,,,
30,CBC,bean,0.020094189072,2,1,,,,
30,CBC,bear,0.0115297703129,2,3,,,,
30,CBC,beer,0.0100186530888,2,1,,,,
30,CBC,belly,0.0276144538236,2,1,,,,
30,CBC,bird,-0.0903411378756,2,3,,,,
30,CBC,bone,0.0866449194632,2,1,,,,
30,CBC,bowl,0.11557605403,2,3,,,,
30,CBC,box,0.00774861326279,2,3,,,,
30,CBC,boy,0.0281165795588,2,3,,,,
30,CBC,bubble,0.0273972994263,2,1,,,,
30,CBC,bus,0.0367192764002,2,1,,,,
30,CBC,cake,0.0664850971458,2,2,,,,
30,CBC,camera,0.0659538066913,2,4,,,,
30,CBC,can,0.105774489668,2,2,,,,
30,CBC,candy,0.0449993577778,2,2,,,,
30,CBC,carpet,0.0601971059539,2,2,,,,
30,CBC,carrot,0.0702270705893,2,4,,,,
30,CBC,coffee,0.0567721799886,2,2,,,,
30,CBC,computer,0.0384185645053,2,2,,,,
30,CBC,cup,0.0536862378139,2,2,,,,
30,CBC,deer,0.0156318060521,2,3,,,,
30,CBC,dog,0.0151718211428,2,1,,,,
30,CBC,door,0.0602266220902,2,3,,,,
30,CBC,duck,0.0188270784053,2,3,,,,
30,CBC,garden,-0.127553287675,2,3,,,,
30,CBC,ghost,0.0182879571392,2,1,,,,
30,CBC,girl,0.0333374218683,2,3,,,,
30,CBC,paint,0.0703633587154,2,4,,,,
30,CBC,panda,0.098083526647,2,4,,,,
30,CBC,pants,0.0632475082909,2,2,,,,
30,CBC,peach,0.0752431070547,2,2,,,,
30,CBC,peanut,0.0660783718144,2,4,,,,
30,CBC,pear,0.0678105624188,2,4,,,,
30,CBC,pen,0.0703091435195,2,2,,,,
30,CBC,pencil,0.0395516227194,2,4,,,,
30,CBC,pepper,0.0553603247303,2,4,,,,
30,CBC,piano,0.0613965754747,2,2,,,,
30,CBC,pineapple,0.054478203942,2,2,,,,
30,CBC,tofu,0.0659249933201,2,2,,,,
30,CBC,tomato,0.0934629460548,2,4,,,,
30,CBC,tongue,0.0627217897602,2,4,,,,
30,CBC,tooth,0.0706837675427,2,4,,,,
30,CBC,turkey,0.0567953712386,2,4,,,,
30,CBC,turtle,0.0726498283499,2,4,,,,
