Subject,Group,Item,Vot Score,Block,Category,Cond_race,Cond_acce,Extra,Word Duration
192,ESL,back,0.0130500389724,1,1,,,,
192,ESL,ball,0.0352090277184,1,3,,,,
192,ESL,banana,0.0161483325647,1,3,,,,
192,ESL,basket,0.037924949023,1,3,,,,
192,ESL,battery,0.0538157598582,1,1,,,,
192,ESL,bean,0.0148683046543,1,1,,,,
192,ESL,bear,0.0213564949054,1,3,,,,
192,ESL,beer,0.100967564715,1,1,,,,
192,ESL,belly,0.0355808507637,1,1,,,,
192,ESL,bird,0.021024815924,1,3,,,,
192,ESL,bone,0.0479555449267,1,1,,,,
192,ESL,bottle,0.0306709936437,1,1,,,,
192,ESL,bowl,0.0739991955205,1,3,,,,
192,ESL,box,0.0189636253479,1,3,,,,
192,ESL,boy,0.0187859098939,1,3,,,,
192,ESL,bubble,0.0136326066041,1,1,,,,
192,ESL,bus,0.0607756691183,1,1,,,,
192,ESL,cake,0.0518416694642,1,2,,,,
192,ESL,camera,0.0896546229496,1,4,,,,
192,ESL,can,0.0886244382017,1,2,,,,
192,ESL,candy,0.0446555185193,1,2,,,,
192,ESL,carrot,0.0993892385374,1,4,,,,
192,ESL,coffee,0.0932563113069,1,2,,,,
192,ESL,computer,0.217348981971,1,2,,,,
192,ESL,cup,0.125757485854,1,2,,,,
192,ESL,deer,0.0326679319572,1,3,,,,
192,ESL,dinosaur,0.0754827769789,1,1,,,,
192,ESL,dog,0.0881616579574,1,1,,,,
192,ESL,door,0.0618446752868,1,3,,,,
192,ESL,duck,0.00792712545864,1,3,,,,
192,ESL,ghost,0.029268054654,1,1,,,,
192,ESL,girl,0.0564291188149,1,3,,,,
192,ESL,gum,0.0420070525133,1,1,,,,
192,ESL,panda,0.0930646602158,1,4,,,,
192,ESL,pants,0.0763168726267,1,2,,,,
192,ESL,peach,0.0643893009186,1,2,,,,
192,ESL,peanut,0.0675779111423,1,4,,,,
192,ESL,pear,0.12030181312,1,4,,,,
192,ESL,pen,0.0922463456539,1,2,,,,
192,ESL,pencil,0.0811026869979,1,4,,,,
192,ESL,piano,0.118376854402,1,2,,,,
192,ESL,pineapple,0.0428677190115,1,2,,,,
192,ESL,tail,0.157331512782,1,4,,,,
192,ESL,tofu,0.106128946941,1,2,,,,
192,ESL,tomato,0.0913372171542,1,4,,,,
192,ESL,tongue,0.0842693105266,1,4,,,,
192,ESL,tooth,0.0979790714166,1,4,,,,
192,ESL,turkey,0.0674516525845,1,4,,,,
192,ESL,turtle,0.1522688081,1,4,,,,
192,ESL,baby,0.079790768848,2,3,,,,
192,ESL,back,0.0242531449665,2,1,,,,
192,ESL,backpack,0.033740246872,2,1,,,,
192,ESL,ball,0.0178626850519,2,3,,,,
192,ESL,banana,0.0754314655355,2,3,,,,
192,ESL,basket,0.0899235525068,2,3,,,,
192,ESL,battery,0.0463836817055,2,1,,,,
192,ESL,bean,0.0581963257546,2,1,,,,
192,ESL,bear,0.03067698517,2,3,,,,
192,ESL,beer,0.0364353947178,2,1,,,,
192,ESL,belly,0.056675617244,2,1,,,,
192,ESL,bird,0.0554306554256,2,3,,,,
192,ESL,bone,0.0306454770864,2,1,,,,
192,ESL,bottle,0.0335957640441,2,1,,,,
192,ESL,bowl,0.0185898833507,2,3,,,,
192,ESL,box,0.0224317673845,2,3,,,,
192,ESL,boy,0.0337111696001,2,3,,,,
192,ESL,bubble,0.0344897208113,2,1,,,,
192,ESL,bus,0.0345318130324,2,1,,,,
192,ESL,cake,0.0906065462605,2,2,,,,
192,ESL,camera,0.0798415378511,2,4,,,,
192,ESL,can,0.0853504384356,2,2,,,,
192,ESL,candy,0.101829379816,2,2,,,,
192,ESL,carrot,0.130035925562,2,4,,,,
192,ESL,coffee,0.120341746727,2,2,,,,
192,ESL,computer,0.17194278278,2,2,,,,
192,ESL,cup,0.0947982285733,2,2,,,,
192,ESL,deer,0.0555157900341,2,3,,,,
192,ESL,dinosaur,0.0497027469891,2,1,,,,
192,ESL,dog,0.0358526693985,2,1,,,,
192,ESL,door,0.0331841092129,2,3,,,,
192,ESL,duck,0.031883035157,2,3,,,,
192,ESL,ghost,0.0679370555865,2,1,,,,
192,ESL,girl,0.0498262153536,2,3,,,,
192,ESL,gum,0.0354911308961,2,1,,,,
192,ESL,panda,0.0891760769654,2,4,,,,
192,ESL,pants,0.064016648243,2,2,,,,
192,ESL,peach,0.0653889382457,2,2,,,,
192,ESL,peanut,0.0849323187896,2,4,,,,
192,ESL,pear,0.102370380996,2,4,,,,
192,ESL,pen,0.0749258035553,2,2,,,,
192,ESL,pencil,0.115377684368,2,4,,,,
192,ESL,piano,0.099427807026,2,2,,,,
192,ESL,tail,0.138559300175,2,4,,,,
192,ESL,tofu,0.0946647617891,2,2,,,,
192,ESL,tomato,0.178656399425,2,4,,,,
192,ESL,tongue,0.0937668546574,2,4,,,,
192,ESL,turkey,0.131228337922,2,4,,,,
192,ESL,turtle,0.112987714287,2,4,,,,
